Book Resume Critique,Co-op,1/12/2021 23:59,💼 Co-op
Lab Group Registration,ECE 124,1/15/2021 23:59,🧪 Lab
Sapling Assignment 1,MATH 119,1/19/2021 23:59,📌 Assignment
Crowdmark Assignment 0,MATH 119,1/15/2021 23:59,📌 Assignment
Assignment 1,CS 138,1/21/2021 21:00,📌 Assignment
Before CFE Survey and Resume Quiz,Co-op,1/15/2021 23:59,📝 Quiz
Attend Resume Critique,Co-op,1/15/2021 23:59,💼 Co-op
APPS DUE - Cycle 1 Posting 1,Co-op,1/19/2021 9:00,💼 Co-op
Pre-Lab 1,ECE 140,1/20/2021 23:59,🧪 Lab
Lab 1 Report,ECE 124,1/22/2021 23:59,🧪 Lab
Crowdmark Assignment 1,MATH 119,1/22/2021 23:59,📌 Assignment
Lab 1 Quiz,ECE 124,1/22/2021 23:59,📝 Quiz
Lab 3,ECE 140,3/10/2021 23:59,🧪 Lab
Lab 2 Report,ECE 124,2/5/2021 23:59,🧪 Lab
Quiz 3,CS 138,4/12/2021 21:00,📝 Quiz
Midterm,ECE 106,3/3/2021 0:00,💫 Exam
Employer Rankings Available,Co-op,2/11/2021 14:00,💼 Co-op
Sapling Assignment 8,MATH 119,3/30/2021 23:59,📌 Assignment
Assignment 6,CS 138,4/8/2021 21:00,📌 Assignment
Lab 5,ECE 140,4/7/2021 23:59,🧪 Lab
Final,CS 138,4/8/2021 0:00,💫 Exam
Final Design Project,ECE 106,4/12/2021 23:59,📌 Assignment
Assignment 2,CS 138,2/4/2021 21:00,📌 Assignment
Pre-Lab 4,ECE 140,3/17/2021 23:59,🧪 Lab
Crowdmark Assignment 6,MATH 119,3/5/2021 23:59,📌 Assignment
Midterm,ECE 140,2/26/2021 23:59,💫 Exam
Assignment 4,CS 138,3/11/2021 21:00,📌 Assignment
Crowdmark Assignment 4,MATH 119,2/12/2021 23:59,📌 Assignment
Lab 2,ECE 140,2/10/2021 23:59,🧪 Lab
Crowdmark Assignment 3,MATH 119,2/5/2021 23:59,📌 Assignment
Quiz 1,CS 138,2/8/2021 21:00,📝 Quiz
Lab 3 Report,ECE 124,3/5/2021 23:59,🧪 Lab
Sapling Assignment 7,MATH 119,3/23/2021 23:59,📌 Assignment
APPS DUE - Cycle 2 Posting 1,Co-op,2/23/2021 9:00,💼 Co-op
Pre-Lab 2,ECE 140,2/3/2021 23:59,🧪 Lab
Sapling Assignment 9,MATH 119,4/6/2021 23:59,📌 Assignment
Student Rankings Due,Co-op,3/12/2021 14:00,💼 Co-op
Lab 2,ECE 106,2/11/2021 23:59,🧪 Lab
Sapling Assignment 5,MATH 119,2/23/2021 23:59,📌 Assignment
Pre-Lab 3,ECE 140,3/3/2021 23:59,🧪 Lab
Assignment 3,CS 138,2/25/2021 21:00,📌 Assignment
Student Rankings Due,Co-op,2/12/2021 14:00,💼 Co-op
Lab 4 Report,ECE 124,3/31/2021 23:59,🧪 Lab
Final,ECE 140,4/14/2021 23:59,💫 Exam
Quiz 2,CS 138,3/18/2021 21:00,📝 Quiz
APPS DUE - Cycle 2 Posting 2,Co-op,3/2/2021 9:00,💼 Co-op
Lab 3,ECE 106,3/18/2021 23:59,🧪 Lab
Assignment 5,CS 138,3/25/2021 21:00,📌 Assignment
Crowdmark Assignment 8,MATH 119,3/19/2021 23:59,📌 Assignment
Lab 1,ECE 106,1/28/2021 23:59,🧪 Lab
Crowdmark Assignment 9,MATH 119,3/26/2021 23:59,📌 Assignment
Crowdmark Assignment 7,MATH 119,3/12/2021 23:59,📌 Assignment
Sapling Assignment 3,MATH 119,2/2/2021 23:59,📌 Assignment
Sapling Assignment 10,MATH 119,4/13/2021 23:59,📌 Assignment
Pre-Lab 5,ECE 140,3/31/2021 23:59,🧪 Lab
Sapling Assignment 4,MATH 119,2/9/2021 23:59,📌 Assignment
APPS DUE - Cycle 1 Posting 2,Co-op,1/26/2021 9:00,💼 Co-op
Lab 4,ECE 140,3/24/2021 23:59,🧪 Lab
Final Exam,ECE 106,4/22/2021 0:00,💫 Exam
Lab 3 Quiz,ECE 124,3/5/2021 23:59,📝 Quiz
Lab 4 Quiz,ECE 124,3/31/2021 23:59,📝 Quiz
Crowdmark Assignment 2,MATH 119,1/29/2021 23:59,📌 Assignment
Crowdmark Assignment 10,MATH 119,4/9/2021 23:59,📌 Assignment
Sapling Assignment 6,MATH 119,3/2/2021 23:59,📌 Assignment
Lab 2 Quiz,ECE 124,2/5/2021 23:59,📝 Quiz
Employer Rankings Available,Co-op,3/11/2021 14:00,💼 Co-op
Crowdmark Assignment 5,MATH 119,2/26/2021 23:59,📌 Assignment
Lab 1,ECE 140,1/27/2021 23:59,🧪 Lab
Sapling Assignment 2,MATH 119,1/26/2021 23:59,📌 Assignment
Quiz 1,ECE 106,1/18/2021 0:00,📝 Quiz
Quiz 2,ECE 106,1/25/2021 0:00,📝 Quiz
Quiz 3,ECE 106,2/1/2021 0:00,📝 Quiz
Quiz 4,ECE 106,2/8/2021 0:00,📝 Quiz
Quiz 5,ECE 106,2/22/2021 0:00,📝 Quiz
Quiz 6,ECE 106,3/1/2021 0:00,📝 Quiz
Quiz 7,ECE 106,3/8/2021 0:00,📝 Quiz
Quiz 8,ECE 106,3/15/2021 0:00,📝 Quiz
Quiz 9,ECE 106,3/22/2021 0:00,📝 Quiz
Quiz 10,ECE 106,3/29/2021 0:00,📝 Quiz
,,,
